Page Title,Page Sub Title,Previous Page URL,Filter By Topics,Filter by Date,-,-,-
Gujarati,,,,easy to sing,"Rushabh, Ajit, Paras, Mahavir - Stuti","ઋષભ, અજિત, પારસ, મહાવીર",http://s768147321.onlinehome.us/DadaReact/PD/page_0118.pdf
Gujarati,,,,SS,Mahavidehe Prarthna - Stuti,"ઋષભ, અજિત, પારસ, મહાવીર",http://s768147321.onlinehome.us/DadaReact/PD/page_0118.pdf
Gujarati,,,,,"Nav Angoni Puja, Hetu","નવ અંગોની પૂજા, હેતુ",http://s768147321.onlinehome.us/DadaReact/PD/page_0121.pdf
Gujarati,,,,janma jayanthi,"Trimandirni Salagiri, Ubhare Anand",ત્રિમંદિરની સાલગીરી,http://s768147321.onlinehome.us/DadaReact/PD/page_0123.pdf
Gujarati,,,,SS,"Swami Simandhar Bhagavan, Mero Kevalgnan","સ્વામી સીમંધર ભગવાન, મેરો કેવલજ્ઞાન",http://s768147321.onlinehome.us/DadaReact/PD/page_0124.pdf
Gujarati,,,,SS,"Pratyaksh Dada Bhagwanni Sakshiye, Simandhar Swamine","પ્રત્યક્ષ દાદા ભગવાનની સાક્ષીએ, સીમંધર સ્વામીને",http://s768147321.onlinehome.us/DadaReact/PD/page_0089.pdf
Gujarati,,,,,Aarti - Simandhar Swami - Jay Simandhar Swami,આરતી - શ્રી સીમંધર સ્વામી - જય સીમંધર સ્વામી,http://s768147321.onlinehome.us/DadaReact/PD/page_0127.pdf
Gujarati,,,,,Shri Simandhar Swamini Aarti,શ્રી સીમંધર સ્વામી આરતી,http://s768147321.onlinehome.us/DadaReact/PD/page_0127.pdf
Gujarati,,,,SS,Vandan Ho Jinaraj Amara,વંદન હો જિનરાજ અમારા,http://s768147321.onlinehome.us/DadaReact/PD/page_0128.pdf
Gujarati,,,,SS,Akhandi Bidu Ne Bhalu Simandhar Swami,આંખડી બીડું ને ભાળું સીમંધર સ્વામી,http://s768147321.onlinehome.us/DadaReact/PD/page_0131.pdf
Gujarati,,,,SS-garba,Zalhalta Diwada Thi Derasar Shobhjo,ઝળહળતા દીવડાથી દેરાસર શોભજો,http://s768147321.onlinehome.us/DadaReact/PD/page_0132.pdf
Gujarati,,,,SS,Ami Bhareli Najare Tharo,અમી ભરેલી નજરે ઠારો,http://s768147321.onlinehome.us/DadaReact/PD/page_0133.pdf
Gujarati,,,,easy to sing,Trishna Mata Paranu,ત્રિશલામાતા પારણું,http://s768147321.onlinehome.us/DadaReact/PD/page_0135.pdf
Gujarati,,,,,Yamuna Jalama Kesar gholi,યમુના જળમાં કેસર ઘોળી,http://s768147321.onlinehome.us/DadaReact/PD/page_0137.pdf
Gujarati,,,,gb,Aa Duniyama Sarve Jivne Sukh Ne,આ દુનિયામાં સર્વે જીવને સુખ ને,http://s768147321.onlinehome.us/DadaReact/PD/page_0138.pdf
Gujarati,,,,,Aa Duniyama Sarve Jivne Sukh Ne,આ દુનિયામાં સર્વે જીવને સુખ ને,http://s768147321.onlinehome.us/DadaReact/PD/page_0138.pdf
Gujarati,,,,,Zalhal Jyoti Swarup Tu,ઝળહળ જ્યોતિ સ્વરૂપ તું,http://s768147321.onlinehome.us/DadaReact/PD/page_0139.pdf
Gujarati,,,,,Aarti - Jay Aadishwar Jay Bhagavan,આરતી - જય આદીશ્વર જય ભગવાન,http://s768147321.onlinehome.us/DadaReact/PD/page_0141.pdf
Gujarati,,,,,Jay Adishvar Jay Bhagavan,જય આદીશ્વર જય ભગવાન,http://s768147321.onlinehome.us/DadaReact/PD/page_0141.pdf
Gujarati,,,,,Ajaramar Virdo Gnanfanhi,અજરામર વીરડો જ્ઞાનફળાં,http://s768147321.onlinehome.us/DadaReact/PD/page_0147.pdf
Gujarati,,,,easy to sing,Kon Jane! Kem Haave Moksh Vartay Che,કોણ જાણે! કેમ હવે મોક્ષ વર્તાય છે,http://s768147321.onlinehome.us/DadaReact/PD/page_0148.pdf
Gujarati,,,,easy to sing,Sarap Ne Mitra Sambodhi Bandhu Okavi,સરપ ને મીત્ર સંબોધી બધું ઓકાવી,http://s768147321.onlinehome.us/DadaReact/PD/page_0151.pdf
Gujarati,,,,easy to sing,Kathani Sathe Vartan Banne Hoy,કથણી સાથે વર્તન બંને હોય,http://s768147321.onlinehome.us/DadaReact/PD/page_0152.pdf
Gujarati,,,,easy to sing,Bhavdo Bhav Karave Betho,ભવડો ભાવ કરાવે બેઠો,http://s768147321.onlinehome.us/DadaReact/PD/page_0154.pdf
Gujarati,,,,,"Bharat Khandma Jya Jasho, Tya Sambhalashe Pokar","ભરત ખંડમાં જ્યાં જાશો, ત્યાં સંભળાશે પોકાર",http://s768147321.onlinehome.us/DadaReact/PD/page_0156.pdf
Gujarati,,,,easy to sing,"Tap Karavana Pan Khara, Apne Gher Betha","તપ કરવાનાં પણ ખરાં, આપણે ઘેર બેઠાં",http://s768147321.onlinehome.us/DadaReact/PD/page_0158.pdf
Gujarati,,,,,Chhodi Diyo Purvagraha Manyata,છોડી દીયો પૂર્વગ્રહ માન્યતા,http://s768147321.onlinehome.us/DadaReact/PD/page_0160.pdf
Gujarati,,,,easy to sing,Kashayi Vani Ne Vartan Moti Hinsa,કષાયી વાણી ને વર્તન મોટી હીંસા,http://s768147321.onlinehome.us/DadaReact/PD/page_0161.pdf
Gujarati,,,,easy to sing,"Satajugma jhajhu Kari, Suratal Hoye","સતજુગમાં ઝાઝુ કરી, સૂરતાલ હોય",http://s768147321.onlinehome.us/DadaReact/PD/page_0162.pdf
